id;ANTIGUEDAD;SALDO_TOTAL;SALDO_RESUMEN;CANT_TARJETAS;EDAD;ESTADO_CIVIL;SEXO;CUENTA_BASICA;INGRESOS_NETOS;MAXIMA_MORA;ENDEUDAMIENTO;SIT_MAYOR1;SEGMENTO;SITUACION;DIRTY
1;78;1465,53;1465,53;1;84;Viudo/a;FEMENINO;0;8647,64;11;0,00;0;JUBILADO NACION;1;0
2;102;31104,20;8184,04;1;75;Viudo/a;FEMENINO;0;25330,44;11;0,26;0;JUBILADO NACION;1;0
3;51;30274,75;3281,90;1;79;Casado/a;FEMENINO;0;9718,30;7;0,25;0;JUBILADO NACION;0;0
4;114;2883,86;2883,86;1;85;Viudo/a;FEMENINO;0;19585,07;6;0,00;0;JUBILADO NACION;0;0
5;69;0,00;0,00;1;71;Soltero/a;FEMENINO;0;17472,75;8;0,00;0;JUBILADO NACION;1;0
6;90;27366,94;9592,02;1;82;Viudo/a;FEMENINO;0;9280,98;1;0,55;2;JUBILADO NACION;1;0
7;81;10354,15;5095,78;1;67;Casado/a;FEMENINO;0;6589,83;8;0,35;0;JUBILADO NACION;1;0
8;77;7919,51;2428,39;1;67;Divorciado/a;FEMENINO;0;9718,30;27;0,29;0;JUBILADO NACION;0;0
9;38;0,00;0,00;1;80;Casado/a;FEMENINO;0;26028,74;20;0,00;0;JUBILADO NACION;1;1
10;110;2365,08;1139,42;1;65;Divorciado/a;FEMENINO;0;13766,62;0;0,11;0;JUBILADO NACION;0;0
11;20;3376,78;3376,78;1;64;Viudo/a;FEMENINO;0;8752,03;0;0,00;0;JUBILADO NACION;1;0
12;57;4691,99;3305,28;1;64;Soltero/a;MASCULINO;0;8578,04;7;0,19;0;JUBILADO NACION;0;0
13;23;4491,05;1892,53;1;63;Casado/a;FEMENINO;0;16538,97;11;0,33;1;JUBILADO NACION;2;0
14;46;7660,30;2825,40;1;64;Divorciado/a;FEMENINO;0;5637,49;7;0,30;0;JUBILADO NACION;1;0
15;56;2967,92;2274,32;1;70;Viudo/a;MASCULINO;0;31781,08;38;0,06;0;JUBILADO NACION;0;0
16;9;11462,48;1723,25;1;62;Soltero/a;FEMENINO;0;7466,78;9;0,32;8;JUBILADO NACION;0;1
17;45;6095,37;2326,14;1;69;Casado/a;MASCULINO;0;6111,92;8;0,31;0;JUBILADO NACION;1;0
18;9;3793,86;1727,76;1;62;Viudo/a;FEMENINO;0;6527,20;1;0,34;1;JUBILADO NACION;1;0
19;62;3343,77;2649,58;1;83;Viudo/a;MASCULINO;0;0,00;34;315,33;0;JUBILADO NACION;0;0
20;102;7802,29;1392,46;2;74;Casado/a;MASCULINO;0;11944,29;0;0,27;0;JUBILADO NACION;1;0
21;57;2544,12;216,51;1;57;Casado/a;MASCULINO;0;13632,06;39;0,35;11;JUBILADO NACION;1;0
22;111;4544,44;2360,68;1;55;Soltero/a;MASCULINO;0;13149,51;38;0,41;0;JUBILADO NACION;1;0
23;29;65551,83;4156,96;1;52;Soltero/a;MASCULINO;0;21418,99;21;0,35;0;JUBILADO NACION;0;0
24;10;1886,25;0,00;1;53;Soltero/a;MASCULINO;0;10337,72;42;0,32;0;JUBILADO NACION;1;0
25;108;687,91;687,91;1;68;Soltero/a;MASCULINO;1;41216,34;0;0,00;0;JUBILADO NACION;1;0
26;101;13340,73;4604,97;1;69;Viudo/a;FEMENINO;0;17031,96;11;0,09;0;JUBILADO NACION;0;0
27;114;10532,84;3698,83;1;72;Soltero/a;MASCULINO;0;30892,53;0;0,06;0;JUBILADO NACION;0;0
28;57;5931,57;632,40;1;72;Casado/a;MASCULINO;0;9718,30;0;0,05;0;JUBILADO NACION;0;0
29;110;12462,88;7349,37;1;69;Viudo/a;MASCULINO;0;48935,99;11;0,03;2;JUBILADO NACION;1;0
30;104;4956,88;2683,28;1;85;Casado/a;MASCULINO;0;14148,25;15;0,09;0;JUBILADO NACION;0;0
